waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

30 frames  39.3 fps  31 Mbps  worst gap 31.6 ms  0 lost   
60 frames  38.0 fps  25 Mbps  worst gap 31.6 ms  0 lost   
90 frames  37.5 fps  23 Mbps  worst gap 31.6 ms  0 lost   
120 frames  37.4 fps  22 Mbps  worst gap 31.6 ms  0 lost   
150 frames  37.3 fps  22 Mbps  worst gap 31.6 ms  0 lost   
180 frames  37.2 fps  21 Mbps  worst gap 31.6 ms  0 lost   
210 frames  37.1 fps  21 Mbps  worst gap 31.6 ms  0 lost   
240 frames  37.1 fps  21 Mbps  worst gap 31.6 ms  0 lost   
270 frames  37.1 fps  21 Mbps  worst gap 31.6 ms  0 lost   
300 frames  37.1 fps  21 Mbps  worst gap 31.6 ms  0 lost   
330 frames  37.1 fps  20 Mbps  worst gap 31.6 ms  0 lost   
360 frames  37.1 fps  20 Mbps  worst gap 31.6 ms  0 lost   
390 frames  37.0 fps  20 Mbps  worst gap 31.6 ms  0 lost   
420 frames  37.0 fps  20 Mbps  worst gap 31.6 ms  0 lost   
450 frames  37.0 fps  20 Mbps  worst gap 31.6 ms  0 lost   
480 frames  37.0 fps  20 Mbps  worst gap 31.6 ms  0 lost   
510 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
540 frames  37.1 fps  20 Mbps  worst gap 38.9 ms  0 lost   
570 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
600 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
630 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
660 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
690 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
720 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
750 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
780 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
810 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
840 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
870 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
900 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
930 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
960 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
990 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1020 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1050 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1080 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1110 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1140 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1170 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1200 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1230 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1260 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1290 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1320 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1350 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1380 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1410 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1440 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1470 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1500 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1530 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1560 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1590 frames  37.0 fps  20 Mbps  worst gap 38.9 ms  0 lost   
1620 frames  36.9 fps  20 Mbps  worst gap 47.4 ms  0 lost   
1650 frames  36.7 fps  20 Mbps  worst gap 50.1 ms  0 lost   
1680 frames  36.5 fps  19 Mbps  worst gap 60.2 ms  0 lost   
1710 frames  36.5 fps  19 Mbps  worst gap 60.2 ms  0 lost   
1740 frames  36.5 fps  19 Mbps  worst gap 60.2 ms  0 lost   
1770 frames  36.5 fps  19 Mbps  worst gap 60.2 ms  0 lost   
1800 frames  36.5 fps  19 Mbps  worst gap 60.2 ms  0 lost   
1830 frames  36.4 fps  19 Mbps  worst gap 60.2 ms  0 lost   
1860 frames  36.3 fps  19 Mbps  worst gap 60.2 ms  0 lost   
1883 packets, 1883 frames shown/decoded, 0 not decoded, 0 lost (frame-number gaps), 124.3 MB, 36.5 fps, worst gap 60.2 ms, decode avg 0.06 ms
packets=1883 frames=1883 undecoded=0 lost=0
