waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

30 frames  65.0 fps  51 Mbps  worst gap 32.2 ms  0 lost   
60 frames  62.5 fps  41 Mbps  worst gap 33.0 ms  0 lost   
90 frames  55.3 fps  34 Mbps  worst gap 50.0 ms  0 lost   
120 frames  54.3 fps  32 Mbps  worst gap 50.0 ms  0 lost   
150 frames  55.3 fps  32 Mbps  worst gap 50.0 ms  0 lost   
180 frames  56.1 fps  32 Mbps  worst gap 50.0 ms  0 lost   
210 frames  55.1 fps  32 Mbps  worst gap 68.3 ms  0 lost   
240 frames  55.6 fps  39 Mbps  worst gap 68.3 ms  0 lost   
270 frames  56.1 fps  46 Mbps  worst gap 68.3 ms  0 lost   
300 frames  56.5 fps  51 Mbps  worst gap 68.3 ms  0 lost   
330 frames  56.8 fps  54 Mbps  worst gap 68.3 ms  0 lost   
360 frames  57.0 fps  56 Mbps  worst gap 68.3 ms  0 lost   
390 frames  57.2 fps  58 Mbps  worst gap 68.3 ms  0 lost   
420 frames  57.4 fps  60 Mbps  worst gap 68.3 ms  0 lost   
450 frames  57.6 fps  62 Mbps  worst gap 68.3 ms  0 lost   
480 frames  57.7 fps  66 Mbps  worst gap 68.3 ms  0 lost   
510 frames  57.9 fps  70 Mbps  worst gap 68.3 ms  0 lost   
540 frames  58.0 fps  73 Mbps  worst gap 68.3 ms  0 lost   
570 frames  58.1 fps  75 Mbps  worst gap 68.3 ms  0 lost   
600 frames  58.2 fps  73 Mbps  worst gap 68.3 ms  0 lost   
630 frames  58.3 fps  71 Mbps  worst gap 68.3 ms  0 lost   
660 frames  58.3 fps  72 Mbps  worst gap 68.3 ms  0 lost   
690 frames  58.4 fps  72 Mbps  worst gap 68.3 ms  0 lost   
720 frames  58.5 fps  73 Mbps  worst gap 68.3 ms  0 lost   
750 frames  58.5 fps  75 Mbps  worst gap 68.3 ms  0 lost   
780 frames  58.6 fps  76 Mbps  worst gap 68.3 ms  0 lost   
810 frames  58.6 fps  78 Mbps  worst gap 68.3 ms  0 lost   
840 frames  58.7 fps  79 Mbps  worst gap 68.3 ms  0 lost   
870 frames  58.7 fps  81 Mbps  worst gap 68.3 ms  0 lost   
900 frames  58.8 fps  82 Mbps  worst gap 68.3 ms  0 lost   
930 frames  58.8 fps  83 Mbps  worst gap 68.3 ms  0 lost   
960 frames  58.8 fps  85 Mbps  worst gap 68.3 ms  0 lost   
990 frames  58.9 fps  86 Mbps  worst gap 68.3 ms  0 lost   
1020 frames  58.9 fps  87 Mbps  worst gap 68.3 ms  0 lost   
1050 frames  58.9 fps  87 Mbps  worst gap 68.3 ms  0 lost   
