waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

30 frames  65.3 fps  37 Mbps  worst gap 19.7 ms  0 lost  pc 29.5 ms  console 9.3 ms   
60 frames  61.9 fps  20 Mbps  worst gap 29.2 ms  0 lost  pc 23.8 ms  console 9.2 ms   
90 frames  61.9 fps  15 Mbps  worst gap 29.2 ms  0 lost  pc 21.6 ms  console 8.9 ms   
120 frames  57.9 fps  11 Mbps  worst gap 67.5 ms  0 lost  pc 21.8 ms  console 13.6 ms   
150 frames  58.1 fps  11 Mbps  worst gap 67.5 ms  0 lost  pc 21.1 ms  console 12.5 ms   
180 frames  58.6 fps  10 Mbps  worst gap 67.5 ms  0 lost  pc 20.5 ms  console 11.6 ms   
210 frames  58.5 fps  10 Mbps  worst gap 67.5 ms  0 lost  pc 20.2 ms  console 11.1 ms   
240 frames  52.7 fps  8 Mbps  worst gap 331.3 ms  0 lost  pc 22.1 ms  console 13.1 ms   
270 frames  53.6 fps  8 Mbps  worst gap 331.3 ms  0 lost  pc 21.6 ms  console 12.6 ms   
300 frames  54.0 fps  8 Mbps  worst gap 331.3 ms  0 lost  pc 21.3 ms  console 12.3 ms   
330 frames  53.6 fps  8 Mbps  worst gap 331.3 ms  0 lost  pc 21.3 ms  console 12.7 ms   
360 frames  53.8 fps  7 Mbps  worst gap 331.3 ms  0 lost  pc 21.2 ms  console 12.7 ms   
390 frames  53.7 fps  7 Mbps  worst gap 331.3 ms  0 lost  pc 21.1 ms  console 12.8 ms   
420 frames  54.1 fps  7 Mbps  worst gap 331.3 ms  0 lost  pc 20.9 ms  console 12.6 ms   
450 frames  53.8 fps  7 Mbps  worst gap 331.3 ms  0 lost  pc 21.0 ms  console 12.8 ms   
480 frames  52.1 fps  7 Mbps  worst gap 331.3 ms  0 lost  pc 21.6 ms  console 13.9 ms   
510 frames  52.5 fps  6 Mbps  worst gap 331.3 ms  0 lost  pc 21.4 ms  console 14.1 ms   
540 frames  52.8 fps  6 Mbps  worst gap 331.3 ms  0 lost  pc 21.2 ms  console 14.0 ms   
570 frames  52.7 fps  7 Mbps  worst gap 331.3 ms  0 lost  pc 21.2 ms  console 13.9 ms   
600 frames  53.0 fps  9 Mbps  worst gap 331.3 ms  0 lost  pc 21.2 ms  console 13.7 ms   
630 frames  53.3 fps  11 Mbps  worst gap 331.3 ms  0 lost  pc 21.1 ms  console 13.5 ms   
660 frames  53.6 fps  13 Mbps  worst gap 331.3 ms  0 lost  pc 21.1 ms  console 13.3 ms   
690 frames  53.9 fps  13 Mbps  worst gap 331.3 ms  0 lost  pc 20.9 ms  console 13.1 ms   
720 frames  54.1 fps  13 Mbps  worst gap 331.3 ms  0 lost  pc 20.9 ms  console 12.9 ms   
750 frames  54.3 fps  15 Mbps  worst gap 331.3 ms  0 lost  pc 20.8 ms  console 12.7 ms   
