=== viewer launch 1 at 23:07:03
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

30 frames  65.8 fps  17 Mbps  worst gap 28.3 ms  0 lost  pc 27.7 ms  console 8.1 ms   
60 frames  62.4 fps  16 Mbps  worst gap 34.4 ms  0 lost  pc 23.2 ms  console 8.5 ms   
90 frames  60.3 fps  17 Mbps  worst gap 35.2 ms  0 lost  pc 22.1 ms  console 9.9 ms   
120 frames  60.2 fps  21 Mbps  worst gap 35.2 ms  0 lost  pc 21.4 ms  console 9.6 ms   
150 frames  60.2 fps  22 Mbps  worst gap 35.2 ms  0 lost  pc 20.9 ms  console 9.3 ms   
180 frames  60.1 fps  21 Mbps  worst gap 35.2 ms  0 lost  pc 20.5 ms  console 9.1 ms   
210 frames  60.1 fps  20 Mbps  worst gap 35.2 ms  0 lost  pc 20.2 ms  console 9.0 ms   
240 frames  59.6 fps  18 Mbps  worst gap 35.2 ms  0 lost  pc 20.1 ms  console 9.5 ms   
270 frames  59.0 fps  16 Mbps  worst gap 35.2 ms  0 lost  pc 20.2 ms  console 10.8 ms   
300 frames  58.9 fps  14 Mbps  worst gap 35.2 ms  0 lost  pc 20.0 ms  console 10.7 ms   
330 frames  59.2 fps  13 Mbps  worst gap 35.2 ms  0 lost  pc 19.8 ms  console 10.6 ms   
360 frames  59.1 fps  12 Mbps  worst gap 35.2 ms  0 lost  pc 19.7 ms  console 10.5 ms   
390 frames  59.2 fps  12 Mbps  worst gap 44.0 ms  0 lost  pc 19.6 ms  console 10.5 ms   
420 frames  59.1 fps  12 Mbps  worst gap 44.0 ms  0 lost  pc 19.6 ms  console 10.4 ms   
450 frames  59.2 fps  12 Mbps  worst gap 44.0 ms  0 lost  pc 19.5 ms  console 10.3 ms   
480 frames  59.3 fps  12 Mbps  worst gap 44.0 ms  0 lost  pc 19.4 ms  console 10.3 ms   
510 frames  58.5 fps  11 Mbps  worst gap 87.3 ms  0 lost  pc 19.7 ms  console 10.5 ms   
540 frames  58.1 fps  11 Mbps  worst gap 87.3 ms  0 lost  pc 19.7 ms  console 11.3 ms   
570 frames  57.3 fps  11 Mbps  worst gap 87.3 ms  0 lost  pc 20.0 ms  console 12.1 ms   
600 frames  56.9 fps  12 Mbps  worst gap 87.3 ms  0 lost  pc 20.1 ms  console 12.5 ms   
630 frames  56.5 fps  14 Mbps  worst gap 87.3 ms  0 lost  pc 20.3 ms  console 13.2 ms   
660 frames  56.4 fps  15 Mbps  worst gap 87.3 ms  0 lost  pc 20.3 ms  console 13.4 ms   
690 frames  56.6 fps  17 Mbps  worst gap 87.3 ms  0 lost  pc 20.4 ms  console 13.3 ms   
720 frames  56.7 fps  18 Mbps  worst gap 87.3 ms  0 lost  pc 20.4 ms  console 13.2 ms   
750 frames  56.8 fps  20 Mbps  worst gap 87.3 ms  0 lost  pc 20.5 ms  console 13.2 ms   
780 frames  56.9 fps  20 Mbps  worst gap 87.3 ms  0 lost  pc 20.5 ms  console 13.1 ms   
