=== viewer launch 1 at 23:27:21
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

30 frames  61.2 fps  16 Mbps  worst gap 39.9 ms  0 lost  pc 29.8 ms  console 12.4 ms   
60 frames  60.5 fps  23 Mbps  worst gap 39.9 ms  0 lost  pc 24.5 ms  console 11.8 ms   
90 frames  60.4 fps  27 Mbps  worst gap 39.9 ms  0 lost  pc 22.6 ms  console 10.7 ms   
120 frames  60.3 fps  24 Mbps  worst gap 39.9 ms  0 lost  pc 21.5 ms  console 10.1 ms   
150 frames  60.3 fps  23 Mbps  worst gap 39.9 ms  0 lost  pc 20.8 ms  console 9.7 ms   
180 frames  60.1 fps  20 Mbps  worst gap 39.9 ms  0 lost  pc 20.4 ms  console 9.4 ms   
210 frames  59.0 fps  17 Mbps  worst gap 39.9 ms  0 lost  pc 20.6 ms  console 11.0 ms   
240 frames  58.8 fps  16 Mbps  worst gap 39.9 ms  0 lost  pc 20.4 ms  console 11.3 ms   
270 frames  59.0 fps  14 Mbps  worst gap 39.9 ms  0 lost  pc 20.1 ms  console 11.2 ms   
300 frames  59.1 fps  13 Mbps  worst gap 39.9 ms  0 lost  pc 19.9 ms  console 11.0 ms   
330 frames  59.2 fps  12 Mbps  worst gap 39.9 ms  0 lost  pc 19.7 ms  console 10.9 ms   
360 frames  59.2 fps  11 Mbps  worst gap 39.9 ms  0 lost  pc 19.6 ms  console 10.8 ms   
390 frames  59.3 fps  11 Mbps  worst gap 39.9 ms  0 lost  pc 19.5 ms  console 10.8 ms   
420 frames  59.3 fps  11 Mbps  worst gap 39.9 ms  0 lost  pc 19.4 ms  console 10.6 ms   
450 frames  59.4 fps  11 Mbps  worst gap 39.9 ms  0 lost  pc 19.4 ms  console 10.6 ms   
480 frames  59.4 fps  11 Mbps  worst gap 39.9 ms  0 lost  pc 19.3 ms  console 10.4 ms   
510 frames  59.5 fps  11 Mbps  worst gap 39.9 ms  0 lost  pc 19.2 ms  console 10.2 ms   
540 frames  59.5 fps  10 Mbps  worst gap 39.9 ms  0 lost  pc 19.1 ms  console 10.1 ms   
570 frames  59.6 fps  10 Mbps  worst gap 39.9 ms  0 lost  pc 19.1 ms  console 10.0 ms   
600 frames  59.5 fps  10 Mbps  worst gap 39.9 ms  0 lost  pc 19.0 ms  console 9.9 ms   
630 frames  59.6 fps  9 Mbps  worst gap 39.9 ms  0 lost  pc 18.9 ms  console 9.8 ms   
660 frames  59.6 fps  9 Mbps  worst gap 39.9 ms  0 lost  pc 18.9 ms  console 9.7 ms   
690 frames  59.6 fps  9 Mbps  worst gap 39.9 ms  0 lost  pc 18.8 ms  console 9.7 ms   
720 frames  59.6 fps  9 Mbps  worst gap 39.9 ms  0 lost  pc 18.8 ms  console 9.6 ms   
750 frames  59.7 fps  8 Mbps  worst gap 39.9 ms  0 lost  pc 18.8 ms  console 9.5 ms   
780 frames  59.6 fps  8 Mbps  worst gap 39.9 ms  0 lost  pc 18.7 ms  console 9.5 ms   
810 frames  59.7 fps  8 Mbps  worst gap 39.9 ms  0 lost  pc 18.7 ms  console 9.4 ms   
840 frames  59.1 fps  8 Mbps  worst gap 98.6 ms  0 lost  pc 18.9 ms  console 9.7 ms   
870 frames  58.8 fps  8 Mbps  worst gap 98.6 ms  0 lost  pc 19.0 ms  console 10.1 ms   
900 frames  58.4 fps  9 Mbps  worst gap 98.6 ms  0 lost  pc 19.2 ms  console 10.5 ms   
930 frames  58.2 fps  9 Mbps  worst gap 98.6 ms  0 lost  pc 19.2 ms  console 10.6 ms   
960 frames  58.2 fps  10 Mbps  worst gap 98.6 ms  0 lost  pc 19.3 ms  console 10.9 ms   
990 frames  57.9 fps  11 Mbps  worst gap 98.6 ms  0 lost  pc 19.5 ms  console 11.4 ms   
1020 frames  57.9 fps  12 Mbps  worst gap 98.6 ms  0 lost  pc 19.5 ms  console 11.4 ms   
1050 frames  58.0 fps  13 Mbps  worst gap 98.6 ms  0 lost  pc 19.5 ms  console 11.4 ms   
1080 frames  58.0 fps  15 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.4 ms   
1110 frames  58.1 fps  16 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.4 ms   
1140 frames  58.1 fps  16 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.3 ms   
1170 frames  58.2 fps  17 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.3 ms   
1200 frames  58.2 fps  17 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.2 ms   
1230 frames  58.3 fps  18 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.2 ms   
1260 frames  58.3 fps  18 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.1 ms   
1290 frames  58.4 fps  19 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.0 ms   
1320 frames  58.4 fps  19 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.0 ms   
1350 frames  58.4 fps  20 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 10.9 ms   
1380 frames  58.4 fps  20 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 10.8 ms   
1410 frames  58.5 fps  20 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 10.8 ms   
1440 frames  58.5 fps  21 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 10.8 ms   
1470 frames  58.6 fps  21 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 10.8 ms   
1500 frames  58.5 fps  21 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 10.8 ms   
1530 frames  58.5 fps  20 Mbps  worst gap 98.6 ms  0 lost  pc 19.5 ms  console 10.8 ms   
1560 frames  58.6 fps  20 Mbps  worst gap 98.6 ms  0 lost  pc 19.5 ms  console 10.7 ms   
1590 frames  58.3 fps  20 Mbps  worst gap 98.6 ms  0 lost  pc 19.6 ms  console 11.0 ms   
1620 frames  58.3 fps  19 Mbps  worst gap 98.6 ms  0 lost  pc 19.5 ms  console 10.9 ms   
1650 frames  58.4 fps  19 Mbps  worst gap 98.6 ms  0 lost  pc 19.5 ms  console 10.9 ms   
1680 frames  57.6 fps  19 Mbps  worst gap 246.4 ms  0 lost  pc 19.7 ms  console 11.0 ms   
1710 frames  57.3 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.1 ms   
1740 frames  57.3 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.1 ms   
1770 frames  57.3 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.0 ms   
1800 frames  57.3 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.7 ms  console 11.1 ms   
1830 frames  57.1 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.1 ms   
1860 frames  57.2 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.1 ms   
1890 frames  57.2 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.7 ms  console 11.1 ms   
1920 frames  57.1 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.2 ms   
1950 frames  57.0 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.4 ms   
1980 frames  57.0 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.4 ms   
2010 frames  57.0 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.4 ms   
2040 frames  57.0 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.8 ms  console 11.4 ms   
2070 frames  57.0 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.7 ms  console 11.3 ms   
2100 frames  57.1 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.7 ms  console 11.3 ms   
2130 frames  57.1 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.7 ms  console 11.2 ms   
2160 frames  57.1 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.7 ms  console 11.2 ms   
2190 frames  57.2 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 11.1 ms   
2220 frames  57.2 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 11.1 ms   
2250 frames  57.2 fps  16 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 11.0 ms   
2280 frames  57.3 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 11.0 ms   
2310 frames  57.3 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 11.0 ms   
2340 frames  57.3 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 10.9 ms   
2370 frames  57.4 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 10.9 ms   
2400 frames  57.4 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 10.9 ms   
2430 frames  57.4 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.6 ms  console 10.8 ms   
2460 frames  57.5 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.8 ms   
2490 frames  57.5 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.7 ms   
2520 frames  57.5 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.7 ms   
2550 frames  57.6 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.7 ms   
2580 frames  57.6 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.7 ms   
2610 frames  57.6 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.6 ms   
2640 frames  57.6 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.6 ms   
2670 frames  57.7 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.6 ms   
2700 frames  57.7 fps  17 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.6 ms   
2730 frames  57.7 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.5 ms   
2760 frames  57.7 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.5 ms   
2790 frames  57.8 fps  18 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.5 ms   
