=== viewer launch 1 at 23:39:48
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

30 frames  65.7 fps  17 Mbps  worst gap 22.3 ms  0 lost  pc 27.3 ms  console 8.8 ms   
60 frames  59.5 fps  15 Mbps  worst gap 68.3 ms  0 lost  pc 23.6 ms  console 9.4 ms   
90 frames  59.9 fps  22 Mbps  worst gap 68.3 ms  0 lost  pc 22.3 ms  console 13.9 ms   
120 frames  60.0 fps  24 Mbps  worst gap 68.3 ms  0 lost  pc 21.4 ms  console 15.8 ms   
150 frames  60.1 fps  22 Mbps  worst gap 68.3 ms  0 lost  pc 21.0 ms  console 16.2 ms   
180 frames  59.9 fps  21 Mbps  worst gap 68.3 ms  0 lost  pc 20.7 ms  console 16.3 ms   
210 frames  59.6 fps  18 Mbps  worst gap 68.3 ms  0 lost  pc 20.5 ms  console 16.5 ms   
240 frames  57.5 fps  16 Mbps  worst gap 68.3 ms  0 lost  pc 20.9 ms  console 17.8 ms   
270 frames  57.6 fps  14 Mbps  worst gap 68.3 ms  0 lost  pc 20.7 ms  console 17.9 ms   
300 frames  57.7 fps  13 Mbps  worst gap 68.3 ms  0 lost  pc 20.5 ms  console 18.1 ms   
330 frames  57.9 fps  12 Mbps  worst gap 68.3 ms  0 lost  pc 20.4 ms  console 18.0 ms   
360 frames  57.5 fps  12 Mbps  worst gap 68.3 ms  0 lost  pc 20.4 ms  console 18.2 ms   
390 frames  57.8 fps  11 Mbps  worst gap 68.3 ms  0 lost  pc 20.3 ms  console 18.0 ms   
420 frames  57.9 fps  10 Mbps  worst gap 68.3 ms  0 lost  pc 20.2 ms  console 17.9 ms   
450 frames  58.0 fps  10 Mbps  worst gap 68.3 ms  0 lost  pc 20.1 ms  console 17.9 ms   
480 frames  58.0 fps  9 Mbps  worst gap 68.3 ms  0 lost  pc 20.0 ms  console 17.6 ms   
510 frames  58.2 fps  9 Mbps  worst gap 68.3 ms  0 lost  pc 19.9 ms  console 17.4 ms   
540 frames  58.3 fps  9 Mbps  worst gap 68.3 ms  0 lost  pc 19.7 ms  console 17.3 ms   
570 frames  58.4 fps  8 Mbps  worst gap 68.3 ms  0 lost  pc 19.7 ms  console 17.2 ms   
600 frames  58.4 fps  9 Mbps  worst gap 68.3 ms  0 lost  pc 19.6 ms  console 17.2 ms   
630 frames  58.6 fps  9 Mbps  worst gap 68.3 ms  0 lost  pc 19.6 ms  console 17.2 ms   
660 frames  58.6 fps  9 Mbps  worst gap 68.3 ms  0 lost  pc 19.5 ms  console 17.0 ms   
690 frames  58.7 fps  9 Mbps  worst gap 68.3 ms  0 lost  pc 19.5 ms  console 16.9 ms   
720 frames  58.3 fps  10 Mbps  worst gap 101.6 ms  0 lost  pc 19.6 ms  console 16.8 ms   
750 frames  58.1 fps  10 Mbps  worst gap 101.6 ms  0 lost  pc 19.7 ms  console 17.1 ms   
780 frames  57.6 fps  10 Mbps  worst gap 101.6 ms  0 lost  pc 19.8 ms  console 17.6 ms   
810 frames  57.5 fps  11 Mbps  worst gap 101.6 ms  0 lost  pc 19.8 ms  console 17.5 ms   
840 frames  57.3 fps  11 Mbps  worst gap 101.6 ms  0 lost  pc 19.9 ms  console 17.6 ms   
870 frames  57.2 fps  13 Mbps  worst gap 101.6 ms  0 lost  pc 20.0 ms  console 17.9 ms   
900 frames  57.1 fps  14 Mbps  worst gap 101.6 ms  0 lost  pc 20.0 ms  console 18.0 ms   
