=== viewer launch 1 at 23:50:58
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

30 frames  65.7 fps  16 Mbps  worst gap 28.8 ms  0 lost  pc 31.0 ms  console 8.4 ms   
60 frames  62.3 fps  15 Mbps  worst gap 28.8 ms  0 lost  pc 24.6 ms  console 7.9 ms   
90 frames  59.6 fps  16 Mbps  worst gap 68.4 ms  0 lost  pc 23.0 ms  console 10.0 ms   
120 frames  59.7 fps  21 Mbps  worst gap 68.4 ms  0 lost  pc 22.0 ms  console 13.1 ms   
150 frames  60.0 fps  22 Mbps  worst gap 68.4 ms  0 lost  pc 21.3 ms  console 14.6 ms   
180 frames  59.9 fps  21 Mbps  worst gap 68.4 ms  0 lost  pc 21.0 ms  console 15.2 ms   
210 frames  60.0 fps  20 Mbps  worst gap 68.4 ms  0 lost  pc 20.7 ms  console 15.2 ms   
240 frames  59.5 fps  18 Mbps  worst gap 68.4 ms  0 lost  pc 20.4 ms  console 15.8 ms   
270 frames  58.5 fps  16 Mbps  worst gap 68.4 ms  0 lost  pc 20.6 ms  console 16.8 ms   
300 frames  58.5 fps  14 Mbps  worst gap 68.4 ms  0 lost  pc 20.3 ms  console 17.0 ms   
330 frames  58.7 fps  13 Mbps  worst gap 68.4 ms  0 lost  pc 20.3 ms  console 16.9 ms   
360 frames  58.8 fps  13 Mbps  worst gap 68.4 ms  0 lost  pc 20.2 ms  console 16.9 ms   
390 frames  58.8 fps  12 Mbps  worst gap 68.4 ms  0 lost  pc 20.1 ms  console 17.1 ms   
420 frames  59.0 fps  11 Mbps  worst gap 68.4 ms  0 lost  pc 19.9 ms  console 17.0 ms   
450 frames  59.1 fps  11 Mbps  worst gap 68.4 ms  0 lost  pc 19.8 ms  console 17.0 ms   
480 frames  59.0 fps  10 Mbps  worst gap 68.4 ms  0 lost  pc 19.8 ms  console 16.9 ms   
510 frames  59.2 fps  10 Mbps  worst gap 68.4 ms  0 lost  pc 19.7 ms  console 16.8 ms   
540 frames  59.2 fps  10 Mbps  worst gap 68.4 ms  0 lost  pc 19.6 ms  console 16.8 ms   
570 frames  59.3 fps  10 Mbps  worst gap 68.4 ms  0 lost  pc 19.6 ms  console 16.8 ms   
600 frames  59.3 fps  10 Mbps  worst gap 68.4 ms  0 lost  pc 19.5 ms  console 16.6 ms   
630 frames  59.4 fps  10 Mbps  worst gap 68.4 ms  0 lost  pc 19.5 ms  console 16.5 ms   
660 frames  59.4 fps  10 Mbps  worst gap 68.4 ms  0 lost  pc 19.4 ms  console 16.3 ms   
690 frames  58.8 fps  11 Mbps  worst gap 121.3 ms  0 lost  pc 19.6 ms  console 16.5 ms   
720 frames  58.4 fps  11 Mbps  worst gap 121.3 ms  0 lost  pc 19.7 ms  console 17.0 ms   
750 frames  57.8 fps  11 Mbps  worst gap 121.3 ms  0 lost  pc 19.8 ms  console 17.3 ms   
780 frames  57.6 fps  12 Mbps  worst gap 121.3 ms  0 lost  pc 19.9 ms  console 17.3 ms   
810 frames  57.3 fps  13 Mbps  worst gap 121.3 ms  0 lost  pc 20.0 ms  console 17.6 ms   
840 frames  57.0 fps  14 Mbps  worst gap 121.3 ms  0 lost  pc 20.1 ms  console 17.9 ms   
870 frames  57.1 fps  15 Mbps  worst gap 121.3 ms  0 lost  pc 20.1 ms  console 17.7 ms   
